,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,overview,releasedate,duration
19,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,men in black 3,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",2012-05-23,106.0
20,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,the hobbit: the battle of the five armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014-12-10,144.0
21,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action|Adventure|Fantasy,the amazing spider-man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012-06-23,136.0
22,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action|Adventure|Drama|History,robin hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",2010-05-12,140.0
23,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,the hobbit: the desolation of smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,161.0
24,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure|Family|Fantasy,the golden compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",2007-12-04,113.0
25,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action|Adventure|Drama|Romance,king kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",2005-12-12,187.0
26,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama|Romance,titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",1997-11-18,194.0
27,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action|Adventure|Sci-Fi,captain america: civil war,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016-04-27,147.0
28,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action|Adventure|Sci-Fi|Thriller,battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father—an Admiral—expect of him.",2012-04-11,131.0
29,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action|Adventure|Sci-Fi|Thriller,jurassic world,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",2015-06-06,124.0
30,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action|Adventure|Thriller,skyfall,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",2012-10-25,143.0
31,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action|Adventure|Fantasy|Romance,spider-man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",2014-04-16,142.0
32,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action|Adventure|Sci-Fi,iron man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013-04-18,130.0
33,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure|Family|Fantasy,alice in wonderland,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03,108.0
34,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: the last stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men—led by Professor Charles Xavier—and the Brotherhood, a band of powerful mutants organised under Xavier's former ally, Magneto.",2006-05-24,104.0
35,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure|Animation|Comedy|Family|Fantasy,monsters university,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2013-06-19,104.0
36,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action|Adventure|Sci-Fi,transformers: revenge of the fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",2009-06-19,150.0
37,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action|Adventure|Sci-Fi,transformers: age of extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",2014-06-25,165.0
38,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure|Family|Fantasy,oz the great and powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",2013-03-07,130.0
39,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action|Adventure|Fantasy|Sci-Fi,the amazing spider-man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",2014-04-16,142.0
40,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action|Adventure|Sci-Fi,tron: legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",2010-12-14,125.0
41,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure|Animation|Comedy|Family|Sport,cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,2011-06-11,106.0
42,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action|Adventure|Sci-Fi,green lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",2011-06-16,114.0
43,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure|Animation|Comedy|Family|Fantasy,toy story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16,103.0
44,McG,Christian Bale,Bryce Dallas Howard,Common,Action|Adventure|Sci-Fi,terminator salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",2009-05-20,117.0
45,James Wan,Jason Statham,Paul Walker,Vin Diesel,Action|Crime|Thriller,furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,2015-04-01,137.0
46,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action|Adventure|Horror|Sci-Fi|Thriller,world war z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",2013-06-20,116.0
47,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: days of future past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,2014-05-15,132.0
48,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action|Adventure|Sci-Fi,star trek into darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",2013-05-05,132.0
49,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure|Fantasy,jack the giant slayer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",2013-02-27,114.0
50,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama|Romance,the great gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",2013-05-10,143.0
51,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action|Adventure|Fantasy|Romance,prince of persia: the sands of time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",2010-05-19,116.0
52,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action|Adventure|Sci-Fi,pacific rim,"A ragtag band of humans band together in the year 2025 to fight legions of monstrous creatures rising from the sea. Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes -- a washed up former pilot and an untested trainee -- who now stand as earth's final hope against the mounting apocalypse.",2013-07-11,131.0
53,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action|Adventure|Sci-Fi,transformers: dark of the moon,"The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.",2011-06-28,154.0
54,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action|Adventure|Fantasy,indiana jones and the kingdom of the crystal skull,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",2008-05-21,122.0
55,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,the good dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,2015-11-14,93.0
56,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure|Animation|Comedy|Family|Fantasy,brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",2012-06-21,93.0
57,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action|Adventure|Sci-Fi|Thriller,star trek beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",2016-07-07,122.0
58,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure|Animation|Family|Sci-Fi,wall·e,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",2008-06-22,98.0
59,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action|Comedy|Crime|Thriller,rush hour 3,"After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?",2007-08-08,91.0
60,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action|Adventure|Sci-Fi,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",2009-10-10,158.0
61,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation|Drama|Family|Fantasy,a christmas carol,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",2009-11-04,94.0
62,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action|Adventure|Sci-Fi,jupiter ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",2015-02-04,127.0
63,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action|Adventure|Drama|Romance,the legend of tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016-06-29,109.0
64,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure|Family|Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",2005-12-07,143.0
65,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action|Adventure|Sci-Fi,x-men: apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016-05-18,144.0
66,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action|Crime|Drama|Thriller,the dark knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-14,152.0
67,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure|Animation|Comedy|Family,up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",2009-05-28,96.0
68,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action|Adventure|Animation|Comedy|Family|Sci-Fi,monsters vs. aliens,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",2009-03-19,94.0
69,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action|Adventure|Sci-Fi,iron man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008-04-30,126.0
70,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure|Drama|Family|Mystery,hugo,"Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.",2011-11-22,126.0
71,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action|Comedy|Sci-Fi|Western,wild wild west,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,1999-06-29,106.0
72,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action|Adventure|Fantasy|Horror|Thriller,the mummy: tomb of the dragon emperor,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",2008-07-01,112.0
73,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action|Adventure|Comedy|Sci-Fi,suicide squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2021-07-28,132.0
74,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy|Family|Fantasy,evan almighty,"Junior congressman Evan Baxter, whose wish is to ""change the world"" is heard by none other than God. When God appears with the perplexing request to build an ark, Evan is sure he is losing it.",2007-06-09,96.0
